number,channel
5,Polsat
322,Polsat News
6,TVN 24
7,TVN
343,BBC World News
481,Polsat Film
498,Polsat Seriale
70,Kino Polska
107,TVN Fabu³a
8,TV Puls
25,Puls 2
10,Comedy Central
11,Paramount Channel HD
22,AXN
477,AXN Spin
479,AXN White
480,AXN Black
94,FOX Comedy
95,Fox
162,Red Carpet TV HD
486,Warner TV HD
482,Ale Kino+
9,TVN 7
106,TVN Style
109,BBC Lifestyle
110,BBC First
111,BBC Brit
382,BBC Earth
109,History
26,Zoom TV
27,Stopklatka
104,Travel Channel
119,Tele 5 HD
163,Active Family
323,Biznes 24
347,CNN
355,TLC
377,Discovery Science
391,Discovery Historia
381,Animal Planet HD
383,Travel Channel
384,PLANETE+
385,Adventure
386,Fokus TV
392,CBS Reality
397,DocuBox HD
398,Da Vinci
491,CBS Europa
494,Sundance TV
565,Eurosport 1
814,Deutsche Welle
817,TV 5 Monde Europe
818,France 24
